基金代码,起始日期,结束日期,年化收益率(总),年化标准差(总),最大回撤(MDD),夏普比率(总),平均滚动年化收益率(1周),平均滚动年化收益率(1月),平均滚动年化收益率(1季度),平均滚动年化收益率(半年),平均滚动年化收益率(1年)
014662,2022-09-26,2025-11-07,28.84%,12.99%,-10.74%,2.065,153.81%,46.10%,30.93%,28.20%,26.90%
008987,2022-09-26,2025-11-07,28.52%,13.03%,-10.89%,2.036,153.87%,45.92%,30.69%,27.91%,26.41%
008327,2022-09-26,2025-11-07,40.93%,34.54%,-34.53%,1.127,439233.62%,261.40%,93.37%,43.10%,26.91%
010524,2022-09-26,2025-11-07,34.45%,33.18%,-34.91%,0.978,171996.02%,226.23%,83.00%,35.35%,20.84%
014544,2022-09-26,2025-11-07,34.49%,34.21%,-46.36%,0.949,2330721.88%,330.23%,71.84%,36.54%,23.01%
011840,2022-09-26,2025-11-07,30.02%,33.04%,-42.63%,0.848,2918458.76%,261.36%,67.82%,30.95%,18.90%
015677,2022-09-26,2025-11-07,17.64%,18.54%,-19.91%,0.843,3850.79%,50.94%,26.57%,13.72%,8.88%
012734,2022-09-26,2025-11-07,29.52%,32.79%,-42.79%,0.839,3509579.10%,269.90%,67.60%,30.64%,18.62%
009239,2022-09-26,2025-11-07,29.16%,32.73%,-42.35%,0.830,3239423.54%,258.60%,66.54%,29.92%,18.26%
012551,2022-09-26,2025-11-07,24.58%,27.55%,-32.76%,0.820,386055.17%,138.14%,47.08%,24.04%,19.21%
014130,2022-09-26,2025-11-07,30.03%,35.42%,-48.73%,0.791,4894342.74%,338.90%,70.21%,34.12%,18.00%
010531,2022-09-26,2025-11-07,24.80%,29.55%,-35.66%,0.771,978473.99%,174.86%,51.67%,25.05%,19.46%
008400,2022-09-26,2025-11-07,18.61%,21.86%,-28.86%,0.760,41719.10%,70.42%,29.80%,14.13%,9.07%
014173,2022-09-26,2025-11-07,22.39%,28.72%,-38.17%,0.710,2256599.48%,182.03%,49.61%,23.43%,14.51%
011833,2022-09-26,2025-11-07,25.85%,33.72%,-46.40%,0.707,3920719.15%,262.25%,61.52%,27.54%,16.95%
001618,2022-09-26,2025-11-07,22.37%,28.99%,-35.65%,0.703,921401.69%,164.90%,46.06%,22.12%,16.48%
015877,2022-09-26,2025-11-07,21.68%,28.71%,-34.83%,0.685,336978.02%,151.25%,46.09%,21.09%,16.42%
012040,2022-09-26,2025-11-07,21.55%,29.00%,-39.11%,0.674,1570484.63%,175.38%,45.21%,21.56%,15.03%
014345,2022-09-26,2025-11-07,14.46%,19.23%,-22.78%,0.648,12954.85%,48.00%,22.34%,12.68%,9.27%
013084,2022-09-26,2025-11-07,19.58%,27.30%,-37.49%,0.644,316951.70%,153.75%,43.44%,24.02%,18.13%
013081,2022-09-26,2025-11-07,17.67%,24.44%,-31.42%,0.641,3982.00%,80.46%,33.89%,14.39%,8.11%
007874,2022-09-26,2025-11-07,18.98%,26.60%,-33.65%,0.638,1135055.13%,127.81%,39.77%,17.05%,10.43%
013122,2022-09-26,2025-11-07,19.96%,28.60%,-41.63%,0.628,1250486.89%,155.83%,42.50%,19.94%,11.85%
007816,2022-09-26,2025-11-07,17.51%,24.85%,-32.93%,0.624,570040.63%,89.37%,32.56%,14.44%,7.21%
015895,2022-09-26,2025-11-07,19.50%,28.38%,-35.24%,0.617,350909.68%,148.92%,43.28%,18.65%,14.03%
015676,2022-09-26,2025-11-07,19.67%,28.81%,-39.50%,0.613,2102509.67%,174.69%,46.17%,20.54%,11.69%
012809,2022-09-26,2025-11-07,17.05%,24.75%,-31.45%,0.608,11839.74%,92.39%,31.14%,18.30%,15.06%
015596,2022-09-26,2025-11-07,16.66%,24.36%,-33.12%,0.602,3255.04%,78.12%,32.96%,13.24%,7.13%
002974,2022-09-26,2025-11-07,19.57%,29.21%,-40.90%,0.601,1983983.44%,183.48%,43.02%,19.66%,13.19%
014194,2022-09-26,2025-11-07,20.66%,33.04%,-39.69%,0.565,29537073.84%,262.01%,51.65%,23.35%,17.75%
013278,2022-09-26,2025-11-07,18.44%,29.21%,-45.76%,0.563,140573.41%,110.78%,44.96%,24.21%,8.78%
016277,2022-09-26,2025-11-07,11.54%,17.12%,-22.66%,0.557,15151.06%,40.47%,17.15%,9.08%,6.50%
012808,2022-09-26,2025-11-07,13.05%,20.35%,-21.77%,0.543,2660.94%,46.84%,20.84%,9.47%,6.29%
012553,2022-09-26,2025-11-07,19.90%,33.10%,-44.09%,0.541,53831782.66%,324.45%,50.57%,23.76%,17.18%
015454,2022-09-26,2025-11-07,12.77%,20.02%,-26.17%,0.538,126653.73%,69.84%,22.14%,11.32%,8.34%
007413,2022-09-26,2025-11-07,11.10%,17.47%,-23.49%,0.521,4885.89%,37.05%,17.17%,9.03%,5.88%
014419,2022-09-26,2025-11-07,19.19%,34.00%,-45.86%,0.506,144452077.70%,413.06%,55.14%,27.36%,20.44%
012899,2022-09-26,2025-11-07,16.21%,28.23%,-36.21%,0.503,114061193.92%,234.46%,45.71%,13.73%,8.23%
013303,2022-09-26,2025-11-07,15.75%,27.65%,-37.87%,0.497,49206784.79%,258.33%,47.31%,14.10%,8.55%
014777,2022-09-26,2025-11-07,17.83%,32.90%,-44.96%,0.481,72767488.21%,323.93%,48.38%,21.78%,15.45%
004433,2022-09-26,2025-11-07,13.88%,24.76%,-35.12%,0.480,3691.41%,73.58%,30.14%,11.54%,5.60%
015577,2022-09-26,2025-11-07,10.78%,18.31%,-19.10%,0.480,1655.62%,37.85%,17.25%,8.09%,5.83%
007301,2022-09-26,2025-11-07,18.03%,33.46%,-45.27%,0.479,90826514.65%,367.58%,50.06%,23.04%,16.83%
012630,2022-09-26,2025-11-07,17.44%,32.30%,-42.88%,0.478,54151583.01%,357.24%,49.21%,22.08%,17.01%
013305,2022-09-26,2025-11-07,15.23%,28.04%,-38.22%,0.472,73783004.99%,227.59%,46.22%,13.03%,7.26%
008888,2022-09-26,2025-11-07,17.34%,32.73%,-43.17%,0.469,77217874.72%,348.05%,48.94%,21.43%,16.21%
012970,2022-09-26,2025-11-07,17.08%,32.34%,-43.02%,0.466,57382877.87%,319.06%,47.71%,20.87%,15.70%
015337,2022-09-26,2025-11-07,17.10%,32.96%,-45.06%,0.458,27576010.22%,285.14%,45.85%,20.31%,14.00%
015508,2022-09-26,2025-11-07,10.79%,19.21%,-28.55%,0.458,8273.77%,43.81%,17.40%,8.96%,6.53%
012908,2022-09-26,2025-11-07,14.93%,28.70%,-38.45%,0.451,173102313.05%,247.31%,46.19%,12.92%,7.17%
013318,2022-09-26,2025-11-07,14.36%,27.44%,-37.20%,0.450,40603306.31%,195.36%,42.31%,11.40%,5.79%
013299,2022-09-26,2025-11-07,14.74%,28.35%,-38.28%,0.449,88637738.18%,235.28%,45.69%,12.56%,6.80%
014332,2022-09-26,2025-11-07,13.83%,26.42%,-42.36%,0.448,30671.57%,99.56%,41.30%,16.84%,10.71%
012838,2022-09-26,2025-11-07,16.29%,32.74%,-45.23%,0.437,55158234.08%,309.47%,46.22%,20.21%,14.13%
013316,2022-09-26,2025-11-07,14.13%,27.93%,-38.21%,0.434,47821196.43%,207.97%,43.27%,11.49%,5.77%
014172,2022-09-26,2025-11-07,13.39%,26.32%,-33.33%,0.433,654118.82%,111.95%,33.23%,13.44%,8.86%
015600,2022-09-26,2025-11-07,13.55%,27.37%,-36.83%,0.422,94894157.94%,215.37%,40.06%,12.47%,7.03%
015788,2022-09-26,2025-11-07,14.70%,30.10%,-44.30%,0.422,106696616.30%,326.61%,48.24%,18.78%,12.94%
014219,2022-09-26,2025-11-07,13.90%,28.69%,-39.20%,0.415,20073619.81%,233.65%,49.12%,12.28%,5.94%
011036,2022-09-26,2025-11-07,13.06%,26.99%,-43.18%,0.410,31599.48%,103.72%,42.25%,16.38%,10.00%
011317,2022-09-26,2025-11-07,12.73%,26.86%,-37.32%,0.399,15233202.55%,190.71%,36.08%,12.62%,7.98%
013331,2022-09-26,2025-11-07,10.61%,22.13%,-32.86%,0.389,33234.29%,56.56%,19.77%,9.38%,6.14%
005795,2022-09-26,2025-11-07,9.66%,19.78%,-26.36%,0.387,41444.41%,49.71%,18.41%,8.30%,5.63%
160424,2022-09-26,2025-11-07,11.42%,24.93%,-36.50%,0.378,10165787.17%,145.47%,34.24%,10.13%,5.82%
014855,2022-09-26,2025-11-07,15.22%,35.05%,-46.34%,0.377,69662905.69%,256.21%,48.48%,19.83%,13.78%
012555,2022-09-26,2025-11-07,12.62%,28.69%,-41.80%,0.370,222024802.23%,294.45%,47.89%,13.32%,7.66%
006938,2022-09-26,2025-11-07,9.25%,20.19%,-28.63%,0.359,63469.67%,58.56%,18.43%,7.22%,4.31%
008001,2022-09-26,2025-11-07,8.26%,17.45%,-25.44%,0.359,7513.65%,38.38%,14.16%,5.79%,3.27%
011613,2022-09-26,2025-11-07,12.40%,29.12%,-42.73%,0.357,105315410.80%,276.12%,38.54%,14.33%,8.84%
007029,2022-09-26,2025-11-07,9.14%,20.12%,-28.15%,0.355,51360.62%,56.24%,17.84%,6.81%,3.84%
014985,2022-09-26,2025-11-07,12.47%,29.70%,-42.64%,0.352,363818054.20%,290.62%,47.57%,13.02%,7.15%
005627,2022-09-26,2025-11-07,10.00%,22.74%,-34.33%,0.352,173596.68%,67.24%,21.81%,9.49%,6.65%
007223,2022-09-26,2025-11-07,8.95%,19.82%,-28.79%,0.351,49471.98%,61.57%,18.45%,6.92%,4.06%
007984,2022-09-26,2025-11-07,9.76%,22.18%,-36.71%,0.350,249135.61%,71.27%,21.56%,7.81%,2.54%
011611,2022-09-26,2025-11-07,12.15%,29.02%,-43.32%,0.350,106174737.25%,287.82%,38.81%,14.46%,8.95%
011609,2022-09-26,2025-11-07,12.09%,29.12%,-42.91%,0.346,77002619.07%,259.15%,37.74%,13.98%,8.60%
005919,2022-09-26,2025-11-07,8.92%,20.26%,-28.56%,0.341,63922.27%,57.25%,17.75%,6.63%,3.74%
015795,2022-09-26,2025-11-07,11.45%,27.70%,-39.46%,0.341,62209469.82%,163.03%,36.66%,10.65%,4.99%
016123,2022-09-26,2025-11-07,11.33%,27.59%,-39.64%,0.338,31625708.31%,180.28%,41.67%,9.73%,5.05%
015673,2022-09-26,2025-11-07,11.26%,27.74%,-38.70%,0.334,188305513.62%,217.46%,37.71%,10.61%,5.63%
012901,2022-09-26,2025-11-07,10.44%,25.97%,-39.27%,0.325,12859746.77%,127.60%,31.71%,10.20%,5.51%
001593,2022-09-26,2025-11-07,11.08%,28.01%,-38.82%,0.324,188555840.45%,206.12%,36.89%,10.05%,4.95%
013894,2022-09-26,2025-11-07,11.36%,28.97%,-43.18%,0.323,106560640.26%,266.00%,37.48%,13.74%,8.29%
013811,2022-09-26,2025-11-07,11.35%,29.18%,-43.43%,0.320,99825572.52%,264.10%,37.20%,13.36%,7.94%
501037,2022-09-26,2025-11-07,8.39%,19.98%,-28.30%,0.320,36320.91%,52.95%,16.86%,6.00%,3.05%
006382,2022-09-26,2025-11-07,8.40%,20.28%,-28.96%,0.316,67925.47%,57.51%,17.26%,6.16%,3.29%
070039,2022-09-26,2025-11-07,8.36%,20.23%,-28.73%,0.314,58223.41%,56.16%,17.08%,6.07%,3.15%
004348,2022-09-26,2025-11-07,7.93%,19.09%,-27.34%,0.311,27933.06%,47.62%,15.40%,5.51%,2.87%
004744,2022-09-26,2025-11-07,10.67%,28.10%,-39.77%,0.308,277917682.52%,216.96%,36.94%,9.88%,4.71%
006215,2022-09-26,2025-11-07,7.16%,16.74%,-25.34%,0.308,3963.54%,32.05%,11.82%,4.29%,1.95%
010063,2022-09-26,2025-11-07,7.35%,17.36%,-27.19%,0.308,1158.08%,36.82%,15.68%,4.78%,2.85%
010956,2022-09-26,2025-11-07,10.67%,28.59%,-34.95%,0.303,166500.08%,119.47%,29.14%,15.05%,11.39%
011965,2022-09-26,2025-11-07,8.11%,20.23%,-29.45%,0.302,63302.01%,58.75%,17.44%,6.17%,3.29%
012718,2022-09-26,2025-11-07,9.25%,24.31%,-39.16%,0.298,904586.61%,113.20%,27.38%,6.93%,1.86%
007665,2022-09-26,2025-11-07,9.20%,24.53%,-36.38%,0.294,9035208.04%,112.25%,26.75%,7.14%,3.15%
005727,2022-09-26,2025-11-07,8.92%,24.53%,-36.50%,0.282,544530.43%,103.19%,24.38%,9.06%,5.20%
010356,2022-09-26,2025-11-07,9.95%,28.37%,-39.34%,0.280,300837960.09%,207.97%,35.66%,8.79%,3.36%
013292,2022-09-26,2025-11-07,9.88%,28.35%,-34.68%,0.278,173837.56%,118.45%,27.99%,14.15%,10.60%
013277,2022-09-26,2025-11-07,8.59%,24.71%,-37.27%,0.267,8658321.16%,112.51%,26.49%,6.68%,2.71%
007794,2022-09-26,2025-11-07,6.63%,19.44%,-28.12%,0.238,30256.73%,44.55%,14.66%,5.53%,2.75%
006910,2022-09-26,2025-11-07,6.96%,25.21%,-41.49%,0.197,2271469.91%,109.50%,30.11%,7.90%,2.96%
