基金代码,基金简称,资产规模,基金类型,最新日涨跌幅,最新净值,管理费率,销售服务费率,托管费率,起始日期,结束日期,共同期年化收益率,共同期年化标准差,共同期最大回撤(MDD),共同期夏普比率
014662,天弘上海金ETF发起联接C,11.27亿元,指数型-其他,( 0.32% ),2.0529,0.25%（每年）,0.35%（每年）,0.05%（每年）,2022-09-26,2025-11-07,29.85%,12.99%,-10.74%,2.144
008987,广发上海金ETF联接C,12.09亿元,指数型-其他,( 0.32% ),1.9414,0.50%（每年）,0.35%（每年）,0.10%（每年）,2022-09-26,2025-11-07,29.53%,13.03%,-10.89%,2.113
008327,东财通信C,6.46亿元,指数型-股票,( -1.40% ),2.4074,0.50%（每年）,0.25%（每年）,0.05%（每年）,2022-09-26,2025-11-07,42.44%,34.54%,-34.53%,1.171
010524,银华中证5G通信主题ETF联接C,4.31亿元,指数型-股票,( -1.73% ),1.5658,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,35.69%,33.18%,-34.91%,1.015
014544,汇添富中证沪港深云计算产业ETF联接C,9.75亿元,指数型-股票,( -1.92% ),1.6604,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,35.73%,34.21%,-46.36%,0.986
011840,天弘中证人工智能C,29.85亿元,指数型-股票,( -1.94% ),1.4933,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,31.08%,33.04%,-42.63%,0.880
015677,鹏华中证一带一路主题指数(LOF)C,0.20亿元,指数型-股票,( 0.53% ),1.6427,1.00%（每年）,0.30%（每年）,0.20%（每年）,2022-09-26,2025-11-07,18.23%,18.54%,-19.91%,0.875
012734,易方达中证人工智能主题ETF联接C,76.17亿元,指数型-股票,( -1.96% ),1.7046,0.15%（每年）,0.10%（每年）,0.05%（每年）,2022-09-26,2025-11-07,30.56%,32.79%,-42.79%,0.871
009239,融通人工智能指数(LOF)C,2.04亿元,指数型-股票,( -1.92% ),2.2737,0.80%（每年）,0.40%（每年）,0.15%（每年）,2022-09-26,2025-11-07,30.19%,32.73%,-42.35%,0.861
012551,华宝中证电子50ETF联接C,0.19亿元,指数型-股票,( -1.81% ),1.2450,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,25.43%,27.55%,-32.76%,0.850
014130,融通中证云计算与大数据主题指数(LOF)C,9.63亿元,指数型-股票,( -1.88% ),1.7158,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,31.10%,35.42%,-48.73%,0.822
010531,申万中证申万电子行业投资指数(LOF)C,0.38亿元,指数型-股票,( -2.00% ),1.5351,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,25.66%,29.55%,-35.66%,0.801
008400,华泰柏瑞中证科技ETF联接C,0.69亿元,指数型-股票,( -0.98% ),1.9731,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,19.24%,21.86%,-28.86%,0.789
014173,富国中证移动互联网指数(LOF)C,0.27亿元,指数型-股票,( -1.57% ),1.2540,1.00%（每年）,0.20%（每年）,0.12%（每年）,2022-09-26,2025-11-07,23.15%,28.72%,-38.17%,0.737
011833,西部利得人工智能主题指数增强C,3.33亿元,指数型-股票,( -2.01% ),1.4480,1.20%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,26.75%,33.72%,-46.40%,0.734
001618,天弘中证电子ETF联接C,6.88亿元,指数型-股票,( -1.71% ),1.9504,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,23.14%,28.99%,-35.65%,0.729
015877,富国中证消费电子主题ETF发起式联接C,5.03亿元,指数型-股票,( -1.97% ),1.5768,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,22.42%,28.71%,-34.83%,0.711
012040,鹏华中证信息技术指数(LOF)C,0.24亿元,指数型-股票,( -1.77% ),1.3783,1.00%（每年）,0.10%（每年）,0.20%（每年）,2022-09-26,2025-11-07,22.29%,29.00%,-39.11%,0.700
014345,鹏华中证500指数增强C,5.87亿元,指数型-股票,( -0.57% ),1.4165,0.80%（每年）,0.40%（每年）,0.15%（每年）,2022-09-26,2025-11-07,14.94%,19.23%,-22.78%,0.673
013084,中信保诚中证智能家居指数(LOF)C,0.29亿元,指数型-股票,( -1.13% ),1.2083,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,20.25%,27.30%,-37.49%,0.668
013081,中信保诚中证800有色指数(LOF)C,1.91亿元,指数型-股票,( 0.60% ),2.5905,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,18.27%,24.44%,-31.42%,0.666
007874,华宝科技ETF联接C,3.58亿元,指数型-股票,( -1.55% ),1.6593,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,19.62%,26.60%,-33.65%,0.662
013122,中信保诚中证TMT(LOF)C,0.22亿元,指数型-股票,( -1.10% ),1.1343,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,20.64%,28.60%,-41.63%,0.652
007816,嘉实新兴科技100ETF联接C,0.36亿元,指数型-股票,( -1.49% ),1.5172,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,18.10%,24.85%,-32.93%,0.648
015895,平安中证消费电子主题ETF发起式联接C,1.08亿元,指数型-股票,( -1.99% ),1.5422,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,20.16%,28.38%,-35.24%,0.640
015676,鹏华中证移动互联网指数(LOF)C,0.09亿元,指数型-股票,( -1.59% ),1.6682,1.00%（每年）,0.30%（每年）,0.20%（每年）,2022-09-26,2025-11-07,20.34%,28.81%,-39.50%,0.637
012809,鹏华中证沪港深科技龙头指数(LOF)C,0.39亿元,指数型-股票,( -1.57% ),1.1068,0.60%（每年）,0.30%（每年）,0.15%（每年）,2022-09-26,2025-11-07,17.63%,24.75%,-31.45%,0.631
015596,国泰国证有色金属行业指数(LOF)C,3.90亿元,指数型-股票,( 0.57% ),2.1006,1.00%（每年）,0.20%（每年）,0.20%（每年）,2022-09-26,2025-11-07,17.21%,24.36%,-33.12%,0.625
002974,广发信息技术联接C,3.30亿元,指数型-股票,( -1.69% ),1.6055,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,20.23%,29.21%,-40.90%,0.624
014194,汇添富中证芯片产业指数增强发起式C,3.85亿元,指数型-股票,( -0.87% ),1.2397,1.20%（每年）,0.30%（每年）,0.20%（每年）,2022-09-26,2025-11-07,21.37%,33.04%,-39.69%,0.586
013278,富国中证体育产业指数(LOF)C,0.53亿元,指数型-股票,( -0.85% ),1.1610,1.00%（每年）,0.20%（每年）,0.20%（每年）,2022-09-26,2025-11-07,19.06%,29.21%,-45.76%,0.584
016277,招商中证800指数增强C,1.77亿元,指数型-股票,( -0.41% ),1.2920,0.60%（每年）,0.50%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.94%,17.12%,-22.66%,0.581
012808,鹏华中证A股资源产业指数(LOF)C,0.22亿元,指数型-股票,( 0.27% ),1.6080,1.00%（每年）,0.10%（每年）,0.20%（每年）,2022-09-26,2025-11-07,13.48%,20.35%,-21.77%,0.564
012553,天弘芯片产业ETF联接C,8.47亿元,指数型-股票,( -1.21% ),1.1213,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,20.57%,33.10%,-44.09%,0.561
015454,中欧中证500指数增强C,5.05亿元,指数型-股票,( -0.16% ),1.3492,1.00%（每年）,0.60%（每年）,0.15%（每年）,2022-09-26,2025-11-07,13.19%,20.02%,-26.17%,0.559
007413,长城中证500指数增强C,3.48亿元,指数型-股票,( -0.32% ),1.7455,1.00%（每年）,0.30%（每年）,0.15%（每年）,2022-09-26,2025-11-07,11.46%,17.47%,-23.49%,0.542
014419,西部利得CES芯片指数增强C,3.78亿元,指数型-股票,( -1.25% ),1.1494,1.20%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,19.84%,34.00%,-45.86%,0.525
012899,兴银中证科创创业50指数C,3.41亿元,指数型-股票,( -0.91% ),1.0374,0.50%（每年）,0.10%（每年）,0.10%（每年）,2022-09-26,2025-11-07,16.75%,28.23%,-36.21%,0.523
013303,招商中证科创创业50ETF联接C,3.51亿元,指数型-股票,( -0.88% ),1.1251,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,16.28%,27.65%,-37.87%,0.516
014777,富国中证芯片产业ETF发起式联接C,3.66亿元,指数型-股票,( -1.20% ),1.2481,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,18.43%,32.90%,-44.96%,0.499
015577,国联安上证商品ETF联接C,0.18亿元,指数型-股票,( 0.78% ),1.4793,0.60%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.13%,18.31%,-19.10%,0.499
004433,南方中证申万有色金属ETF发起联接C,15.96亿元,指数型-股票,( 0.69% ),1.6844,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,14.34%,24.76%,-35.12%,0.499
007301,国联安中证半导体ETF联接C,22.70亿元,指数型-股票,( -1.28% ),2.8162,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,18.63%,33.46%,-45.27%,0.497
012630,广发国证半导体芯片ETF联接C,12.62亿元,指数型-股票,( -1.29% ),1.0436,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,18.03%,32.30%,-42.88%,0.496
013305,易方达中证科创创业50联接C,19.86亿元,指数型-股票,( -0.90% ),1.0926,0.15%（每年）,0.30%（每年）,0.05%（每年）,2022-09-26,2025-11-07,15.74%,28.04%,-38.22%,0.490
008888,华夏国证半导体芯片ETF联接C,105.93亿元,指数型-股票,( -1.29% ),1.5287,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,17.93%,32.73%,-43.17%,0.487
012970,鹏华国证半导体芯片ETF联接C,6.43亿元,指数型-股票,( -1.27% ),1.0846,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,17.65%,32.34%,-43.02%,0.484
015508,兴业中证500指数增强C,5.16亿元,指数型-股票,( 0.17% ),1.2917,1.00%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.15%,19.21%,-28.55%,0.476
015337,嘉实中证芯片产业指数发起式C,2.10亿元,指数型-股票,( -1.21% ),1.2948,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,17.68%,32.96%,-45.06%,0.476
012908,鹏扬中证科创创业50ETF联接C,5.32亿元,指数型-股票,( -0.90% ),1.0378,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,15.43%,28.70%,-38.45%,0.468
013318,华宝中证科创创业50ETF联接C,0.50亿元,指数型-股票,( -0.92% ),1.0724,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,14.84%,27.44%,-37.20%,0.468
013299,南方中证科创创业50ETF联接C,3.34亿元,指数型-股票,( -0.89% ),1.0689,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,15.23%,28.35%,-38.28%,0.467
014332,华泰柏瑞中证稀土产业ETF发起式联接C,3.99亿元,指数型-股票,( -0.20% ),1.2006,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,14.29%,26.42%,-42.36%,0.465
012838,华安CES半导体芯片行业指数发起C,1.74亿元,指数型-股票,( -1.25% ),0.9518,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,16.84%,32.74%,-45.23%,0.453
013316,嘉实中证科创创业50ETF发起联接C,2.90亿元,指数型-股票,( -0.89% ),1.0130,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,14.60%,27.93%,-38.21%,0.451
014172,富国中证工业4.0指数(LOF)C,0.81亿元,指数型-股票,( -1.50% ),1.3170,1.00%（每年）,0.20%（每年）,0.20%（每年）,2022-09-26,2025-11-07,13.84%,26.32%,-33.33%,0.450
015788,鹏扬中证数字经济主题ETF发起联接C,1.99亿元,指数型-股票,( -1.74% ),1.5337,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,15.30%,30.10%,-44.30%,0.442
015600,国泰创业板指数(LOF)C,0.61亿元,指数型-股票,( -0.48% ),1.7703,0.50%（每年）,0.20%（每年）,0.15%（每年）,2022-09-26,2025-11-07,14.00%,27.37%,-36.83%,0.438
014219,汇添富中证科创创业50指数增强发起式C,3.13亿元,指数型-股票,( -0.93% ),1.4635,1.20%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,14.36%,28.69%,-39.20%,0.431
011036,嘉实中证稀土产业ETF联接C,40.51亿元,指数型-股票,( -0.21% ),1.2521,0.50%（每年）,0.10%（每年）,0.10%（每年）,2022-09-26,2025-11-07,13.49%,26.99%,-43.18%,0.426
011317,天弘创业板300ETF发起式联接C,1.08亿元,指数型-股票,( -0.41% ),1.1198,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,13.15%,26.86%,-37.32%,0.415
013331,富国中证1000指数增强(LOF)C,3.92亿元,指数型-股票,( -0.20% ),2.5006,1.00%（每年）,0.20%（每年）,0.15%（每年）,2022-09-26,2025-11-07,10.95%,22.13%,-32.86%,0.405
005795,博时中证500指数增强C,1.38亿元,指数型-股票,( -0.46% ),1.6319,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,9.97%,19.78%,-26.36%,0.403
160424,华安创业板50ETF联接C,40.25亿元,指数型-股票,( -0.68% ),2.4607,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.80%,24.93%,-36.50%,0.393
014855,嘉实中证半导体指数增强发起式C,23.49亿元,指数型-股票,( -0.57% ),1.9204,0.60%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,15.73%,35.05%,-46.34%,0.392
012555,西部利得创业板大盘ETF联接C,1.82亿元,指数型-股票,( -0.65% ),1.0108,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,13.03%,28.69%,-41.80%,0.384
008001,鹏华中证500ETF联接C,0.32亿元,指数型-股票,( -0.22% ),1.4367,0.15%（每年）,0.20%（每年）,0.05%（每年）,2022-09-26,2025-11-07,8.52%,17.45%,-25.44%,0.374
011613,华夏科创50ETF联接C,56.68亿元,指数型-股票,( -1.38% ),1.1109,0.15%（每年）,0.25%（每年）,0.05%（每年）,2022-09-26,2025-11-07,12.80%,29.12%,-42.73%,0.371
007029,易方达中证500ETF联接发起式C,6.90亿元,指数型-股票,( -0.23% ),1.7168,0.15%（每年）,0.10%（每年）,0.05%（每年）,2022-09-26,2025-11-07,9.44%,20.12%,-28.15%,0.370
005627,富国中证高端制造指数增强型(LOF)C,0.88亿元,指数型-股票,( -0.78% ),2.3663,1.20%（每年）,0.20%（每年）,0.20%（每年）,2022-09-26,2025-11-07,10.33%,22.74%,-34.33%,0.366
014985,华安创业板50指数C,5.67亿元,指数型-股票,( -0.69% ),1.7645,1.00%（每年）,0.20%（每年）,0.20%（每年）,2022-09-26,2025-11-07,12.88%,29.70%,-42.64%,0.366
007223,工银中证500ETF联接C,0.27亿元,指数型-股票,( -0.24% ),1.3816,0.45%（每年）,0.25%（每年）,0.07%（每年）,2022-09-26,2025-11-07,9.24%,19.82%,-28.79%,0.365
007984,申万菱信中证研发创新100ETF联接C,0.28亿元,指数型-股票,( -1.03% ),1.8744,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,10.08%,22.18%,-36.71%,0.364
011611,华泰柏瑞上证科创板50成份ETF联接C,15.11亿元,指数型-股票,( -1.39% ),1.0925,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,12.55%,29.02%,-43.32%,0.363
011609,易方达上证科创50联接C,120.07亿元,指数型-股票,( -1.40% ),1.0827,0.15%（每年）,0.10%（每年）,0.05%（每年）,2022-09-26,2025-11-07,12.48%,29.12%,-42.91%,0.360
005919,天弘中证500ETF联接C,7.00亿元,指数型-股票,( -0.23% ),1.4442,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,9.20%,20.26%,-28.56%,0.356
015795,天弘创业板指数增强C,3.38亿元,指数型-股票,( -0.71% ),1.2596,0.60%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.82%,27.70%,-39.46%,0.355
016123,华富中证科创创业50指数增强C,0.49亿元,指数型-股票,( -1.19% ),1.3798,1.00%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.70%,27.59%,-39.64%,0.352
015673,鹏华创业板指数(LOF)C,0.27亿元,指数型-股票,( -0.49% ),1.4308,1.00%（每年）,0.30%（每年）,0.20%（每年）,2022-09-26,2025-11-07,11.63%,27.74%,-38.70%,0.347
012901,招商创业板指数增强C,2.15亿元,指数型-股票,( -0.91% ),0.8886,1.20%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,10.78%,25.97%,-39.27%,0.338
001593,天弘创业板ETF联接C,65.66亿元,指数型-股票,( -0.48% ),1.2713,0.15%（每年）,0.20%（每年）,0.05%（每年）,2022-09-26,2025-11-07,11.44%,28.01%,-38.82%,0.337
013894,国联安上证科创50ETF联接C,0.87亿元,指数型-股票,( -1.39% ),1.2315,0.30%（每年）,0.40%（每年）,0.05%（每年）,2022-09-26,2025-11-07,11.73%,28.97%,-43.18%,0.336
501037,汇添富中证500ETF联接(LOF)C,4.66亿元,指数型-股票,( -0.21% ),1.3656,0.15%（每年）,0.20%（每年）,0.05%（每年）,2022-09-26,2025-11-07,8.66%,19.98%,-28.30%,0.333
013811,广发科创板50ETF发起联接C,14.75亿元,指数型-股票,( -1.41% ),0.9882,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.72%,29.18%,-43.43%,0.333
006382,华夏中证500ETF联接C,2.52亿元,指数型-股票,( -0.22% ),0.8534,0.15%（每年）,0.40%（每年）,0.05%（每年）,2022-09-26,2025-11-07,8.67%,20.28%,-28.96%,0.329
070039,嘉实中证500ETF联接C,2.61亿元,指数型-股票,( -0.23% ),1.6489,0.15%（每年）,0.40%（每年）,0.05%（每年）,2022-09-26,2025-11-07,8.63%,20.23%,-28.73%,0.328
004348,南方中证500ETF联接(LOF)C,5.81亿元,指数型-股票,( -0.23% ),1.9944,0.15%（每年）,0.40%（每年）,0.05%（每年）,2022-09-26,2025-11-07,8.19%,19.09%,-27.34%,0.324
006215,平安500ETF联接C,2.82亿元,指数型-股票,( -0.23% ),1.3925,0.50%（每年）,0.10%（每年）,0.10%（每年）,2022-09-26,2025-11-07,7.39%,16.74%,-25.34%,0.322
010063,南方行业精选一年混合C,3.38亿元,混合型-偏股,( -0.58% ),0.9122,1.20%（每年）,0.60%（每年）,0.20%（每年）,2022-09-26,2025-11-07,7.58%,17.36%,-27.19%,0.322
004744,易方达创业板ETF联接C,44.87亿元,指数型-股票,( -0.49% ),3.2002,0.15%（每年）,0.25%（每年）,0.05%（每年）,2022-09-26,2025-11-07,11.02%,28.10%,-39.77%,0.321
010956,天弘中证智能汽车指数发起式C,4.64亿元,指数型-股票,( -1.14% ),1.0958,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.02%,28.59%,-34.95%,0.315
011965,泰康中证500ETF联接C,0.35亿元,指数型-股票,( -0.22% ),1.1587,0.15%（每年）,0.04%（每年）,0.05%（每年）,2022-09-26,2025-11-07,8.37%,20.23%,-29.45%,0.315
012718,易方达中证科技50ETF联接C,0.66亿元,指数型-股票,( -1.23% ),1.0859,0.15%（每年）,0.30%（每年）,0.05%（每年）,2022-09-26,2025-11-07,9.55%,24.31%,-39.16%,0.311
007665,永赢创业板指数发起式C,4.55亿元,指数型-股票,( -0.49% ),1.7623,0.15%（每年）,0.10%（每年）,0.05%（每年）,2022-09-26,2025-11-07,9.50%,24.53%,-36.38%,0.306
005727,嘉实中创400ETF联接C,0.07亿元,指数型-股票,( 0.02% ),1.2803,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,9.21%,24.53%,-36.50%,0.294
010356,诺安创业板指数增强(LOF)C,1.62亿元,指数型-股票,( -0.35% ),2.2019,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,10.28%,28.37%,-39.34%,0.292
013292,富国中证智能汽车(LOF)C,1.72亿元,指数型-股票,( -1.12% ),2.0390,1.00%（每年）,0.20%（每年）,0.20%（每年）,2022-09-26,2025-11-07,10.20%,28.35%,-34.68%,0.289
013277,富国创业板ETF联接C,6.14亿元,指数型-股票,( -0.48% ),1.1501,0.15%（每年）,0.20%（每年）,0.05%（每年）,2022-09-26,2025-11-07,8.87%,24.71%,-37.27%,0.278
001301,大成睿景灵活配置混合C,7.38亿元,混合型-灵活,( 0.38% ),2.6270,1.20%（每年）,0.80%（每年）,0.20%（每年）,2022-09-26,2025-11-07,7.47%,20.22%,-31.31%,0.270
007794,申万菱信中证500指数优选增强C,2.20亿元,指数型-股票,( -0.63% ),1.9451,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,6.84%,19.44%,-28.12%,0.249
006910,华夏战略新兴成指ETF联接C,0.83亿元,指数型-股票,( -1.08% ),2.0233,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,7.18%,25.21%,-41.49%,0.205
