基金简称,资产规模,基金类型,最新日涨跌幅,最新净值,管理费率,基金代码,起始日期,结束日期,年化收益率(总),年化标准差(总),最大回撤(MDD),夏普比率(总),平均滚动年化收益率(1月),平均滚动年化收益率(1季度),平均滚动年化收益率(半年),平均滚动年化收益率(1年)
所有基金共同分析期：2022-09-26 到 2025-11-07,,,,,,所有基金共同分析期,,,,,,,,,,
天弘上海金ETF发起联接C,N/A,N/A,( 0.32% ),2.0529,0.25%（每年）,014662,2022-03-02,2025-11-07,22.31%,12.58%,-10.74%,1.614,24.41%,22.18%,22.92%,23.23%
广发上海金ETF联接C,N/A,N/A,( 0.32% ),1.9414,0.50%（每年）,008987,2020-08-05,2025-11-07,14.07%,12.51%,-15.71%,0.965,15.16%,14.06%,14.28%,14.38%
鹏华中证一带一路主题指数(LOF)C,N/A,N/A,( 0.53% ),1.6427,1.00%（每年）,015677,2022-05-20,2025-11-07,15.82%,18.35%,-19.91%,0.753,14.34%,12.21%,9.24%,7.24%
华安创业板50ETF联接C,N/A,N/A,( -0.68% ),2.4607,0.50%（每年）,160424,2019-05-21,2025-11-07,16.97%,26.27%,-51.79%,0.570,17.20%,15.87%,12.63%,9.58%
长城中证500指数增强C,N/A,N/A,( -0.32% ),1.7455,1.00%（每年）,007413,2019-05-09,2025-11-07,12.69%,19.28%,-34.76%,0.554,12.48%,12.08%,10.64%,9.38%
华泰柏瑞中证科技ETF联接C,N/A,N/A,( -0.98% ),1.9731,0.50%（每年）,008400,2020-02-26,2025-11-07,13.89%,21.77%,-36.64%,0.546,14.58%,13.20%,8.07%,4.60%
嘉实中证半导体指数增强发起式C,N/A,N/A,( -0.57% ),1.9204,0.60%（每年）,014855,2022-04-22,2025-11-07,21.08%,35.11%,-46.34%,0.543,16.93%,12.86%,6.81%,5.73%
国泰国证有色金属行业指数(LOF)C,N/A,N/A,( 0.57% ),2.1006,1.00%（每年）,015596,2022-05-17,2025-11-07,15.06%,24.44%,-34.78%,0.534,13.42%,9.00%,5.36%,2.12%
国联安上证商品ETF联接C,N/A,N/A,( 0.78% ),1.4793,0.60%（每年）,015577,2022-05-13,2025-11-07,11.55%,18.81%,-22.91%,0.507,8.77%,6.23%,3.81%,2.76%
名称查找失败(015676),N/A,N/A,N/A,N/A,N/A,015676,2022-05-10,2025-11-07,16.18%,28.06%,-39.50%,0.505,15.32%,13.62%,10.61%,8.48%
申万菱信中证500指数优选增强C,N/A,N/A,( -0.63% ),1.9451,1.00%（每年）,007794,2019-08-08,2025-11-07,11.59%,19.53%,-38.59%,0.491,11.12%,10.28%,8.71%,6.54%
国联安中证半导体ETF联接C,N/A,N/A,( -1.28% ),2.8162,0.50%（每年）,007301,2019-06-26,2025-11-07,18.19%,33.81%,-59.67%,0.479,18.62%,16.40%,12.80%,8.15%
东财通信C,N/A,N/A,( -1.40% ),2.4074,0.50%（每年）,008327,2020-01-20,2025-11-07,16.92%,31.87%,-42.38%,0.468,17.06%,15.83%,10.89%,7.74%
富国中证消费电子主题ETF发起式联接C,N/A,N/A,( -1.97% ),1.5768,0.50%（每年）,015877,2022-06-14,2025-11-07,14.89%,28.23%,-34.94%,0.457,15.99%,14.35%,11.40%,10.61%
平安中证消费电子主题ETF发起式联接C,N/A,N/A,( -1.99% ),1.5422,0.50%（每年）,015895,2022-07-19,2025-11-07,14.56%,28.12%,-36.46%,0.446,13.61%,14.80%,10.55%,9.08%
易方达中证人工智能主题ETF联接C,N/A,N/A,( -1.96% ),1.7046,0.15%（每年）,012734,2022-03-01,2025-11-07,16.12%,31.89%,-42.79%,0.443,17.17%,19.85%,14.78%,14.41%
鹏扬中证数字经济主题ETF发起联接C,N/A,N/A,( -1.74% ),1.5337,0.50%（每年）,015788,2022-09-26,2025-11-07,15.30%,30.10%,-44.30%,0.442,15.73%,13.63%,7.97%,7.16%
鹏华中证A股资源产业指数(LOF)C,N/A,N/A,( 0.27% ),1.6080,1.00%（每年）,012808,2021-07-19,2025-11-07,12.02%,23.07%,-32.08%,0.434,10.37%,5.86%,3.62%,2.26%
申万菱信中证研发创新100ETF联接C,N/A,N/A,( -1.03% ),1.8744,0.50%（每年）,007984,2019-11-21,2025-11-07,11.64%,23.39%,-46.21%,0.412,11.42%,9.76%,7.49%,3.21%
华夏战略新兴成指ETF联接C,N/A,N/A,( -1.08% ),2.0233,0.50%（每年）,006910,2019-06-05,2025-11-07,12.12%,24.86%,-59.31%,0.407,11.73%,10.44%,7.10%,3.14%
鹏华中证500指数增强C,N/A,N/A,( -0.57% ),1.4165,0.80%（每年）,014345,2022-01-11,2025-11-07,9.83%,19.65%,-23.33%,0.399,10.22%,10.08%,8.34%,5.97%
招商中证800指数增强C,N/A,N/A,( -0.41% ),1.2920,0.60%（每年）,016277,2022-08-23,2025-11-07,8.82%,17.32%,-22.66%,0.394,10.91%,10.17%,6.92%,4.97%
永赢创业板指数发起式C,N/A,N/A,( -0.49% ),1.7623,0.15%（每年）,007665,2019-09-10,2025-11-07,12.05%,25.56%,-51.50%,0.393,12.18%,11.40%,7.72%,4.20%
鹏华中证500ETF联接C,N/A,N/A,( -0.22% ),1.4367,0.15%（每年）,008001,2020-01-15,2025-11-07,9.06%,18.41%,-34.02%,0.383,8.54%,9.21%,6.72%,4.03%
汇添富中证沪港深云计算产业ETF联接C,N/A,N/A,( -1.92% ),1.6604,0.50%（每年）,014544,2021-12-28,2025-11-07,14.64%,33.49%,-46.36%,0.377,15.56%,18.38%,17.26%,17.39%
中欧中证500指数增强C,N/A,N/A,( -0.16% ),1.3492,1.00%（每年）,015454,2022-05-06,2025-11-07,9.19%,19.28%,-28.40%,0.373,8.86%,7.75%,5.74%,3.89%
国泰创业板指数(LOF)C,N/A,N/A,( -0.48% ),1.7703,0.50%（每年）,015600,2022-05-20,2025-11-07,11.38%,26.92%,-40.55%,0.349,10.16%,6.43%,2.60%,0.24%
易方达中证500ETF联接发起式C,N/A,N/A,( -0.23% ),1.7168,0.15%（每年）,007029,2019-03-20,2025-11-07,8.75%,19.55%,-36.50%,0.345,8.67%,8.84%,7.78%,6.79%
大成睿景灵活配置混合C,N/A,N/A,( 0.38% ),2.6270,1.20%（每年）,001301,2015-05-26,2025-11-07,10.01%,23.36%,-49.20%,0.343,12.74%,12.78%,11.84%,12.20%
融通人工智能指数(LOF)C,N/A,N/A,( -1.92% ),2.2737,0.80%（每年）,009239,2020-04-01,2025-11-07,12.09%,29.50%,-47.18%,0.342,11.33%,9.68%,4.41%,2.38%
汇添富中证科创创业50指数增强发起式C,N/A,N/A,( -0.93% ),1.4635,1.20%（每年）,014219,2022-03-29,2025-11-07,11.49%,28.44%,-42.88%,0.334,12.66%,9.19%,1.41%,-1.56%
鹏华创业板指数(LOF)C,N/A,N/A,( -0.49% ),1.4308,1.00%（每年）,015673,2022-05-10,2025-11-07,11.07%,27.24%,-43.55%,0.333,9.14%,4.87%,0.65%,-1.54%
华富中证科创创业50指数增强C,N/A,N/A,( -1.19% ),1.3798,1.00%（每年）,016123,2022-08-31,2025-11-07,10.99%,27.31%,-39.64%,0.329,10.71%,7.90%,1.33%,0.00%
银华中证5G通信主题ETF联接C,N/A,N/A,( -1.73% ),1.5658,0.50%（每年）,010524,2021-01-04,2025-11-07,11.98%,30.69%,-43.14%,0.325,11.24%,12.02%,7.29%,3.31%
兴业中证500指数增强C,N/A,N/A,( 0.17% ),1.2917,1.00%（每年）,015508,2022-06-07,2025-11-07,8.05%,18.85%,-29.82%,0.321,7.50%,6.96%,5.41%,3.61%
融通中证云计算与大数据主题指数(LOF)C,N/A,N/A,( -1.88% ),1.7158,1.00%（每年）,014130,2021-11-30,2025-11-07,12.18%,34.08%,-48.73%,0.299,12.35%,13.03%,13.80%,16.00%
平安500ETF联接C,N/A,N/A,( -0.23% ),1.3925,0.50%（每年）,006215,2018-09-05,2025-11-07,7.44%,19.25%,-34.77%,0.282,7.42%,8.00%,7.17%,5.79%
天弘中证人工智能C,N/A,N/A,( -1.94% ),1.4933,0.50%（每年）,011840,2021-08-17,2025-11-07,10.30%,31.20%,-42.63%,0.266,10.94%,10.40%,5.24%,6.53%
华宝科技ETF联接C,N/A,N/A,( -1.55% ),1.6593,0.50%（每年）,007874,2019-08-30,2025-11-07,8.80%,25.61%,-52.63%,0.265,8.51%,7.70%,3.82%,0.11%
名称查找失败(070039),N/A,N/A,N/A,N/A,N/A,070039,2018-09-13,2025-11-07,7.47%,20.86%,-38.43%,0.262,7.96%,8.00%,6.69%,5.19%
华夏中证500ETF联接C,N/A,N/A,( -0.22% ),0.8534,0.15%（每年）,006382,2018-09-19,2025-11-07,7.41%,20.87%,-38.77%,0.259,8.23%,8.07%,6.62%,5.20%
申万中证申万电子行业投资指数(LOF)C,N/A,N/A,( -2.00% ),1.5351,0.50%（每年）,010531,2020-11-11,2025-11-07,9.24%,28.13%,-49.04%,0.257,9.49%,7.42%,4.20%,0.81%
博时中证500指数增强C,N/A,N/A,( -0.46% ),1.6319,1.00%（每年）,005795,2018-04-03,2025-11-07,7.31%,20.74%,-41.99%,0.256,7.57%,7.54%,7.21%,7.56%
嘉实新兴科技100ETF联接C,N/A,N/A,( -1.49% ),1.5172,0.50%（每年）,007816,2019-11-01,2025-11-07,7.56%,24.28%,-45.48%,0.229,7.13%,5.11%,2.59%,-1.22%
西部利得人工智能主题指数增强C,N/A,N/A,( -2.01% ),1.4480,1.20%（每年）,011833,2021-06-08,2025-11-07,9.02%,31.49%,-48.39%,0.223,8.63%,6.82%,3.28%,3.22%
天弘创业板指数增强C,N/A,N/A,( -0.71% ),1.2596,0.60%（每年）,015795,2022-08-18,2025-11-07,7.74%,27.55%,-39.96%,0.208,8.93%,8.55%,2.59%,-0.00%
鹏华中证信息技术指数(LOF)C,N/A,N/A,( -1.77% ),1.3783,1.00%（每年）,012040,2021-04-14,2025-11-07,7.49%,27.42%,-47.31%,0.200,7.33%,4.90%,0.99%,-0.13%
诺安创业板指数增强(LOF)C,N/A,N/A,( -0.35% ),2.2019,1.00%（每年）,010356,2020-10-28,2025-11-07,7.55%,27.82%,-52.62%,0.200,6.38%,3.92%,0.15%,-3.99%
工银中证500ETF联接C,N/A,N/A,( -0.24% ),1.3816,0.45%（每年）,007223,2020-02-18,2025-11-07,5.88%,19.63%,-39.17%,0.198,5.75%,6.20%,3.56%,1.28%
名称查找失败(008888),N/A,N/A,N/A,N/A,N/A,008888,2020-06-02,2025-11-07,8.38%,32.91%,-59.94%,0.194,8.20%,4.75%,2.54%,1.28%
易方达创业板ETF联接C,N/A,N/A,( -0.49% ),3.2002,0.15%（每年）,004744,2017-06-05,2025-11-07,7.07%,26.62%,-55.33%,0.191,6.51%,6.10%,3.92%,3.23%
富国中证体育产业指数(LOF)C,N/A,N/A,( -0.85% ),1.1610,1.00%（每年）,013278,2021-08-17,2025-11-07,7.38%,28.92%,-45.76%,0.186,6.94%,6.05%,2.86%,3.68%
南方中证申万有色金属ETF发起联接C,N/A,N/A,( 0.69% ),1.6844,0.50%（每年）,004433,2017-09-08,2025-11-07,6.95%,27.79%,-51.27%,0.178,7.06%,6.48%,4.70%,4.85%
嘉实中证芯片产业指数发起式C,N/A,N/A,( -1.21% ),1.2948,0.50%（每年）,015337,2022-03-23,2025-11-07,7.62%,33.02%,-45.06%,0.170,11.35%,10.17%,5.55%,6.13%
天弘中证电子ETF联接C,N/A,N/A,( -1.71% ),1.9504,0.50%（每年）,001618,2015-07-29,2025-11-07,6.90%,28.80%,-49.28%,0.170,7.21%,7.50%,5.49%,5.45%
国联安上证科创50ETF联接C,N/A,N/A,( -1.39% ),1.2315,0.30%（每年）,013894,2022-05-24,2025-11-07,6.50%,28.22%,-43.99%,0.159,7.16%,5.48%,2.64%,1.07%
中信保诚中证800有色指数(LOF)C,N/A,N/A,( 0.60% ),2.5905,1.00%（每年）,013081,2021-08-26,2025-11-07,6.00%,26.52%,-47.96%,0.151,4.60%,4.07%,1.42%,-0.39%
天弘中证500ETF联接C,N/A,N/A,( -0.23% ),1.4442,0.50%（每年）,005919,2018-04-24,2025-11-07,5.13%,20.83%,-37.81%,0.150,4.99%,5.62%,5.49%,5.62%
泰康中证500ETF联接C,N/A,N/A,( -0.22% ),1.1587,0.15%（每年）,011965,2022-08-01,2025-11-07,4.78%,20.09%,-30.66%,0.139,4.99%,5.74%,2.94%,0.79%
华安创业板50指数C,N/A,N/A,( -0.69% ),1.7645,1.00%（每年）,014985,2022-02-22,2025-11-07,6.05%,29.86%,-47.45%,0.135,5.78%,5.98%,-0.18%,-2.61%
中信保诚中证TMT(LOF)C,N/A,N/A,( -1.10% ),1.1343,1.00%（每年）,013122,2021-08-26,2025-11-07,5.65%,27.27%,-43.94%,0.134,6.24%,5.10%,1.43%,3.12%
富国中证芯片产业ETF发起式联接C,N/A,N/A,( -1.20% ),1.2481,0.50%（每年）,014777,2022-01-18,2025-11-07,6.23%,32.67%,-46.93%,0.129,7.65%,7.80%,5.18%,5.72%
富国中证1000指数增强(LOF)C,N/A,N/A,( -0.20% ),2.5006,1.00%（每年）,013331,2021-08-19,2025-11-07,4.84%,22.14%,-37.53%,0.128,3.58%,3.95%,2.11%,1.56%
富国中证移动互联网指数(LOF)C,N/A,N/A,( -1.57% ),1.2540,1.00%（每年）,014173,2021-12-02,2025-11-07,5.61%,28.14%,-43.67%,0.128,5.42%,6.18%,6.33%,7.96%
中信保诚中证智能家居指数(LOF)C,N/A,N/A,( -1.13% ),1.2083,1.00%（每年）,013084,2021-08-26,2025-11-07,5.36%,26.41%,-45.20%,0.127,5.99%,5.87%,3.24%,5.66%
华宝中证电子50ETF联接C,N/A,N/A,( -1.81% ),1.2450,0.50%（每年）,012551,2021-07-19,2025-11-07,5.39%,26.89%,-48.11%,0.126,5.47%,5.26%,1.05%,2.63%
嘉实中证稀土产业ETF联接C,N/A,N/A,( -0.21% ),1.2521,0.50%（每年）,011036,2021-08-03,2025-11-07,5.59%,28.88%,-56.31%,0.124,5.02%,3.47%,-0.95%,-3.03%
汇添富中证芯片产业指数增强发起式C,N/A,N/A,( -0.87% ),1.2397,1.20%（每年）,014194,2021-12-02,2025-11-07,5.82%,32.94%,-49.01%,0.116,6.81%,6.68%,5.65%,6.21%
华泰柏瑞中证稀土产业ETF发起式联接C,N/A,N/A,( -0.20% ),1.2006,0.50%（每年）,014332,2021-12-14,2025-11-07,4.96%,27.45%,-50.15%,0.108,6.20%,6.23%,4.05%,-0.06%
汇添富中证500ETF联接(LOF)C,N/A,N/A,( -0.21% ),1.3656,0.15%（每年）,501037,2017-08-10,2025-11-07,4.01%,20.48%,-37.80%,0.098,3.89%,3.90%,3.14%,3.57%
广发信息技术联接C,N/A,N/A,( -1.69% ),1.6055,0.50%（每年）,002974,2016-07-06,2025-11-07,3.77%,26.78%,-51.30%,0.066,3.96%,3.56%,2.16%,2.03%
富国中证高端制造指数增强型(LOF)C,N/A,N/A,( -0.78% ),2.3663,1.20%（每年）,005627,2022-01-25,2025-11-07,3.46%,23.49%,-42.61%,0.062,3.82%,4.17%,1.04%,-0.74%
嘉实中创400ETF联接C,N/A,N/A,( 0.02% ),1.2803,0.50%（每年）,005727,2018-03-07,2025-11-07,3.47%,24.14%,-44.99%,0.061,3.16%,3.28%,3.34%,4.72%
西部利得CES芯片指数增强C,N/A,N/A,( -1.25% ),1.1494,1.20%（每年）,014419,2021-12-23,2025-11-07,3.78%,34.08%,-54.80%,0.052,6.18%,6.36%,5.50%,6.60%
南方中证500ETF联接(LOF)C,N/A,N/A,( -0.23% ),1.9944,0.15%（每年）,004348,2017-02-27,2025-11-07,2.73%,19.15%,-36.58%,0.038,2.53%,2.53%,1.72%,0.95%
招商中证科创创业50ETF联接C,N/A,N/A,( -0.88% ),1.1251,0.50%（每年）,013303,2021-08-24,2025-11-07,2.94%,26.84%,-53.22%,0.035,2.21%,-0.21%,-4.08%,-3.99%
鹏华中证沪港深科技龙头指数(LOF)C,N/A,N/A,( -1.57% ),1.1068,0.60%（每年）,012809,2021-12-07,2025-11-07,2.70%,25.42%,-44.70%,0.028,3.16%,4.26%,5.18%,5.62%
天弘芯片产业ETF联接C,N/A,N/A,( -1.21% ),1.1213,0.50%（每年）,012553,2021-07-21,2025-11-07,2.83%,32.39%,-53.70%,0.026,3.75%,2.76%,-0.73%,0.92%
天弘创业板300ETF发起式联接C,N/A,N/A,( -0.41% ),1.1198,0.50%（每年）,011317,2021-05-07,2025-11-07,2.65%,26.20%,-51.85%,0.025,1.89%,-0.06%,-3.27%,-3.98%
天弘创业板ETF联接C,N/A,N/A,( -0.48% ),1.2713,0.15%（每年）,001593,2015-07-08,2025-11-07,2.41%,28.78%,-58.82%,0.014,1.42%,2.34%,0.22%,0.22%
华夏科创50ETF联接C,N/A,N/A,( -1.38% ),1.1109,0.15%（每年）,011613,2021-03-04,2025-11-07,2.39%,27.73%,-57.72%,0.014,2.36%,-0.57%,-4.95%,-5.90%
易方达中证科技50ETF联接C,N/A,N/A,( -1.23% ),1.0859,0.15%（每年）,012718,2022-02-14,2025-11-07,2.31%,24.08%,-41.52%,0.013,2.38%,2.84%,-1.57%,-2.83%
易方达中证科创创业50联接C,N/A,N/A,( -0.90% ),1.0926,0.15%（每年）,013305,2021-08-24,2025-11-07,2.21%,27.10%,-53.81%,0.008,1.68%,-0.85%,-4.70%,-4.75%
华泰柏瑞上证科创板50成份ETF联接C,N/A,N/A,( -1.39% ),1.0925,0.50%（每年）,011611,2021-03-04,2025-11-07,2.00%,27.57%,-58.15%,-0.000,2.07%,-0.49%,-5.04%,-6.14%
天弘中证智能汽车指数发起式C,N/A,N/A,( -1.14% ),1.0958,0.50%（每年）,010956,2021-01-19,2025-11-07,1.99%,28.53%,-47.47%,-0.000,3.60%,5.28%,2.95%,0.55%
富国中证工业4.0指数(LOF)C,N/A,N/A,( -1.50% ),1.3170,1.00%（每年）,014172,2021-12-07,2025-11-07,2.01%,26.34%,-47.07%,0.000,1.67%,2.07%,1.70%,1.32%
鹏华国证半导体芯片ETF联接C,N/A,N/A,( -1.27% ),1.0846,0.50%（每年）,012970,2021-08-24,2025-11-07,2.01%,31.73%,-56.51%,0.000,2.51%,0.40%,-3.06%,-1.64%
名称查找失败(013292),N/A,N/A,N/A,N/A,N/A,013292,2021-08-24,2025-11-07,1.90%,28.52%,-48.24%,-0.003,3.41%,2.39%,-1.03%,0.68%
易方达上证科创50联接C,N/A,N/A,( -1.40% ),1.0827,0.15%（每年）,011609,2021-03-01,2025-11-07,1.80%,27.76%,-58.34%,-0.007,1.96%,-1.35%,-5.43%,-6.30%
名称查找失败(013318),N/A,N/A,N/A,N/A,N/A,013318,2021-08-25,2025-11-07,1.74%,26.63%,-52.58%,-0.010,1.38%,-1.16%,-4.81%,-4.96%
南方中证科创创业50ETF联接C,N/A,N/A,( -0.89% ),1.0689,0.50%（每年）,013299,2021-08-19,2025-11-07,1.67%,27.44%,-53.94%,-0.012,1.22%,-1.29%,-4.74%,-4.80%
广发国证半导体芯片ETF联接C,N/A,N/A,( -1.29% ),1.0436,0.50%（每年）,012630,2021-08-09,2025-11-07,1.04%,31.78%,-57.14%,-0.030,1.75%,0.56%,-3.05%,-1.61%
鹏扬中证科创创业50ETF联接C,N/A,N/A,( -0.90% ),1.0378,0.50%（每年）,012908,2021-07-16,2025-11-07,0.90%,27.66%,-54.03%,-0.040,0.59%,-0.92%,-5.52%,-5.37%
兴银中证科创创业50指数C,N/A,N/A,( -0.91% ),1.0374,0.50%（每年）,012899,2021-07-14,2025-11-07,0.90%,27.49%,-54.17%,-0.040,1.58%,0.19%,-4.09%,-3.80%
西部利得创业板大盘ETF联接C,N/A,N/A,( -0.65% ),1.0108,0.50%（每年）,012555,2021-12-01,2025-11-07,0.29%,28.52%,-54.22%,-0.060,1.39%,2.54%,-0.42%,-2.90%
嘉实中证科创创业50ETF发起联接C,N/A,N/A,( -0.89% ),1.0130,0.50%（每年）,013316,2021-08-24,2025-11-07,0.32%,27.10%,-53.87%,-0.062,0.74%,-1.59%,-5.52%,-5.56%
广发科创板50ETF发起联接C,N/A,N/A,( -1.41% ),0.9882,0.50%（每年）,013811,2021-10-20,2025-11-07,-0.30%,28.21%,-56.11%,-0.082,-0.70%,-2.29%,-3.69%,-3.05%
华安CES半导体芯片行业指数发起C,N/A,N/A,( -1.25% ),0.9518,0.50%（每年）,012838,2021-08-03,2025-11-07,-1.19%,32.18%,-58.40%,-0.099,0.18%,-0.30%,-4.02%,-2.48%
富国创业板ETF联接C,N/A,N/A,( -0.48% ),1.1501,0.15%（每年）,013277,2021-08-17,2025-11-07,-1.30%,25.57%,-52.56%,-0.129,-1.95%,-3.53%,-7.01%,-7.17%
招商创业板指数增强C,N/A,N/A,( -0.91% ),0.8886,1.20%（每年）,012901,2021-11-16,2025-11-07,-3.02%,26.08%,-57.50%,-0.192,-3.45%,-3.04%,-4.35%,-6.07%
南方行业精选一年混合C,N/A,N/A,( -0.58% ),0.9122,1.20%（每年）,010063,2020-10-27,2025-11-07,-1.94%,18.95%,-55.41%,-0.208,-3.76%,-5.50%,-7.89%,-9.24%
