基金代码,基金名称,基金管理人,基金经理,成立日期,基金托管人,更新时间
012734,易方达中证人工智能主题ETF联接C,易方达基金,张湛,2022-03-01,N/A,2025-11-07 18:38:19
011965,泰康中证500ETF联接C,泰康基金,魏军,2022-08-01,N/A,2025-11-07 18:38:19
011609,易方达上证科创50联接C,易方达基金,林伟斌,2021-03-01,N/A,2025-11-07 18:38:19
007029,易方达中证500ETF联接发起式C,易方达基金,余海燕,2019-03-20,N/A,2025-11-07 18:38:19
007665,永赢创业板指数发起式C,永赢基金,刘庭宇,2019-09-10,N/A,2025-11-07 18:38:19
011613,华夏科创50ETF联接C,华夏基金,荣膺,2021-03-04,N/A,2025-11-07 18:38:21
013277,富国创业板ETF联接C,富国基金,曹璐迪,2021-08-17,N/A,2025-11-07 18:38:21
008001,鹏华中证500ETF联接C,鹏华基金,陈龙,2020-01-15,N/A,2025-11-07 18:38:21
001593,天弘创业板ETF联接C,天弘基金,林心龙,2015-07-08,N/A,2025-11-07 18:38:21
004744,易方达创业板ETF联接C,易方达基金,成曦,2017-06-02,N/A,2025-11-07 18:38:21
012718,易方达中证科技50ETF联接C,易方达基金,张湛,2022-02-14,N/A,2025-11-07 18:38:22
013305,易方达中证科创创业50联接C,易方达基金,伍臣东,2021-08-24,N/A,2025-11-07 18:38:22
070039,嘉实中证500ETF联接C,嘉实基金,何如,2018-09-13,N/A,2025-11-07 18:38:22
006382,华夏中证500ETF联接C,华夏基金,荣膺,2018-09-19,N/A,2025-11-07 18:38:22
004348,南方中证500ETF联接,南方基金,罗文杰,2017-02-23,N/A,2025-11-07 18:38:22
012899,兴银中证科创创业50指数C,兴银基金管理,林学晨,2021-07-14,N/A,2025-11-07 18:38:23
006215,平安500ETF联接C,平安基金,李严,2018-09-05,N/A,2025-11-07 18:38:23
013894,国联安上证科创50ETF联接C,国联安基金,黄欣,2022-05-24,N/A,2025-11-07 18:38:23
011036,嘉实中证稀土产业ETF联接C,嘉实基金,田光远,2021-08-03,N/A,2025-11-07 18:38:23
014662,天弘上海金ETF发起联接C,天弘基金,沙川,2022-03-02,N/A,2025-11-07 18:38:23
014777,富国中证芯片产业ETF发起式联接C,富国基金,张圣贤,2022-01-18,N/A,2025-11-07 18:38:24
007223,工银中证500ETF联接C,工银瑞信基金,刘子豪,2020-02-18,N/A,2025-11-07 18:38:24
012553,天弘芯片产业ETF联接C,天弘基金,洪明华,2021-07-21,N/A,2025-11-07 18:38:25
007816,嘉实新兴科技100ETF联接C,嘉实基金,尚可,2019-11-01,N/A,2025-11-07 18:38:25
005919,天弘中证500ETF联接C,天弘基金,陈瑶,2018-04-24,N/A,2025-11-07 18:38:25
501037,汇添富中证500ETF联接,汇添富基金,吴振翔,2017-08-10,N/A,2025-11-07 18:38:26
001618,天弘中证电子ETF联接C,天弘基金,洪明华,2015-07-29,N/A,2025-11-07 18:38:26
012551,华宝中证电子50ETF联接C,华宝基金,蒋俊阳,2021-07-19,N/A,2025-11-07 18:38:26
011317,天弘创业板300ETF发起式联接C,天弘基金,陈瑶,2021-05-07,N/A,2025-11-07 18:38:26
010956,天弘中证智能汽车指数发起式C,天弘基金,祁世超,2021-01-19,N/A,2025-11-07 18:38:26
011840,天弘中证人工智能C,天弘基金,祁世超,2021-08-17,N/A,2025-11-07 18:38:27
012970,鹏华国证半导体芯片ETF联接C,鹏华基金,罗英宇,2021-08-24,N/A,2025-11-07 18:38:27
002974,广发信息技术联接C,广发基金,霍华明,2016-07-06,N/A,2025-11-07 18:38:27
015877,富国中证消费电子主题ETF发起式...,富国基金,张圣贤,2022-06-14,N/A,2025-11-07 18:38:27
008327,东财通信C,东财基金,姚楠燕,2020-01-20,N/A,2025-11-07 18:38:28
013316,嘉实中证科创创业50ETF发起联接C,嘉实基金,李直,2021-08-24,N/A,2025-11-07 18:38:28
160424,华安创业板50ETF联接C,华安基金,许之彦,2019-05-21,N/A,2025-11-07 18:38:28
007301,国联安中证半导体ETF联接C,国联安基金,黄欣,2019-06-26,N/A,2025-11-07 18:38:28
011611,华泰柏瑞上证科创板50成份ETF联接C,华泰柏瑞基金,柳军,2021-03-04,N/A,2025-11-07 18:38:29
015337,嘉实中证芯片产业指数发起式C,嘉实基金,田光远,2022-03-23,N/A,2025-11-07 18:38:29
015600,国泰创业板指数,国泰基金,吴中昊,2022-05-20,N/A,2025-11-07 18:38:29
008400,华泰柏瑞中证科技ETF联接C,华泰柏瑞基金,胡亦清,2020-02-26,N/A,2025-11-07 18:38:29
014332,华泰柏瑞中证稀土产业ETF发起式...,华泰柏瑞基金,谭弘翔,2021-12-14,N/A,2025-11-07 18:38:30
014544,汇添富中证沪港深云计算产业ETF...,汇添富基金,乐无穹,2021-12-28,N/A,2025-11-07 18:38:30
007984,申万菱信中证研发创新100ETF联接C,申万菱信基金,王赟杰,2019-11-21,N/A,2025-11-07 18:38:30
008888,华夏国证半导体芯片ETF联接C,华夏基金,赵宗庭,2020-06-02,N/A,2025-11-07 18:38:30
006910,华夏战略新兴成指ETF联接C,华夏基金,鲁亚运,2019-06-05,N/A,2025-11-07 18:38:30
012630,广发国证半导体芯片ETF联接C,广发基金,曹世宇,2021-08-09,N/A,2025-11-07 18:38:31
012555,西部利得创业板大盘ETF联接C,西部利得基金,童国林,2021-12-01,N/A,2025-11-07 18:38:31
013318,华宝中证科创创业50ETF联接C,华宝基金,胡洁,2021-08-25,N/A,2025-11-07 18:38:31
012838,华安CES半导体芯片行业指数发起C,华安基金,刘璇子,2021-08-03,N/A,2025-11-07 18:38:32
013811,广发科创板50ETF发起联接C,广发基金,陆志明,2021-10-20,N/A,2025-11-07 18:38:32
010531,申万中证申万电子行业投资指数,申万菱信基金,王赟杰,2020-11-11,N/A,2025-11-07 18:38:32
010524,银华中证5G通信主题ETF联接C,银华基金,马君,2021-01-04,N/A,2025-11-07 18:38:32
013299,南方中证科创创业50ETF联接C,南方基金,崔蕾,2021-08-19,N/A,2025-11-07 18:38:33
014855,嘉实中证半导体指数增强发起式C,嘉实基金,刘斌,2022-04-22,N/A,2025-11-07 18:38:33
008987,广发上海金ETF联接C,广发基金,姚曦,2020-08-05,N/A,2025-11-07 18:38:33
015895,平安中证消费电子主题ETF发起式...,平安基金,刘洁倩,2022-07-19,N/A,2025-11-07 18:38:34
015577,国联安上证商品ETF联接C,国联安基金,黄欣,2022-05-13,N/A,2025-11-07 18:38:34
015788,鹏扬中证数字经济主题ETF发起联接C,鹏扬基金,施红俊,2022-09-26,N/A,2025-11-07 18:38:34
015795,天弘创业板指数增强C,天弘基金,杨超,2022-08-18,N/A,2025-11-07 18:38:34
005727,嘉实中创400ETF联接C,嘉实基金,张超梁,2018-03-06,N/A,2025-11-07 18:38:34
012908,鹏扬中证科创创业50ETF联接C,鹏扬基金,施红俊,2021-07-16,N/A,2025-11-07 18:38:35
013303,招商中证科创创业50ETF联接C,招商基金,房俊一,2021-08-24,N/A,2025-11-07 18:38:35
007874,华宝科技ETF联接C,华宝基金,胡洁,2019-08-30,N/A,2025-11-07 18:38:35
004433,南方中证申万有色金属ETF发起联接C,南方基金,崔蕾,2017-09-08,N/A,2025-11-07 18:38:35
012809,鹏华中证沪港深科技龙头指数,鹏华基金,钟成亮,2021-12-07,N/A,2025-11-07 18:38:35
006938,鹏华中证500指数,鹏华基金,余展昌,2019-01-22,N/A,2025-11-07 18:38:36
012808,鹏华中证A股资源产业指数,鹏华基金,闫冬,2021-07-19,N/A,2025-11-07 18:38:36
012040,鹏华中证信息技术指数,鹏华基金,罗英宇,2021-04-14,N/A,2025-11-07 18:38:36
016277,招商中证800指数增强C,招商基金,王平,2022-08-23,N/A,2025-11-07 18:38:36
014173,富国中证移动互联网指数,富国基金,牛志冬,2021-12-02,N/A,2025-11-07 18:38:36
013331,富国中证1000指数增强,富国基金,徐幼华,2021-08-19,N/A,2025-11-07 18:38:37
014345,鹏华中证500指数增强C,鹏华基金,苏俊杰,2022-01-11,N/A,2025-11-07 18:38:37
015508,兴业中证500指数增强C,兴业基金,楼华锋,2022-06-07,N/A,2025-11-07 18:38:37
013278,富国中证体育产业指数,富国基金,张圣贤,2021-08-17,N/A,2025-11-07 18:38:38
009239,融通人工智能指数,融通基金,何天翔,2020-04-01,N/A,2025-11-07 18:38:37
014172,富国中证工业4.0指数,富国基金,张圣贤,2021-12-07,N/A,2025-11-07 18:38:38
014985,华安创业板50指数C,华安基金,刘璇子,2022-02-22,N/A,2025-11-07 18:38:39
015596,国泰国证有色金属行业指数,国泰基金,吴中昊,2022-05-17,N/A,2025-11-07 18:38:39
013292,富国中证智能汽车,富国基金,张圣贤,2021-08-24,N/A,2025-11-07 18:38:39
007413,长城中证500指数增强C,长城基金,雷俊,2019-05-09,N/A,2025-11-07 18:38:39
015676,鹏华中证移动互联网指数,鹏华基金,罗英宇,2022-05-10,N/A,2025-11-07 18:38:40
015677,鹏华中证一带一路主题指数,鹏华基金,王力,2022-05-20,N/A,2025-11-07 18:38:40
016123,华富中证科创创业50指数增强C,华富基金,张娅,2022-08-31,N/A,2025-11-07 18:38:40
015673,鹏华创业板指数,鹏华基金,余展昌,2022-05-10,N/A,2025-11-07 18:38:40
014219,汇添富中证科创创业50指数增强发...,汇添富基金,赖中立,2022-03-29,N/A,2025-11-07 18:38:40
005795,博时中证500指数增强C,博时基金,刘钊,2018-03-31,N/A,2025-11-07 18:38:41
013122,中信保诚中证TMT,中信保诚基金,黄稚,2021-08-26,N/A,2025-11-07 18:38:41
005627,富国中证高端制造指数增强型,富国基金,牛志冬,2022-01-25,N/A,2025-11-07 18:38:41
013084,中信保诚中证智能家居指数,中信保诚基金,黄稚,2021-08-26,N/A,2025-11-07 18:38:41
014130,融通中证云计算与大数据主题指数,融通基金,何天翔,2021-11-30,N/A,2025-11-07 18:38:41
007794,申万菱信中证500指数优选增强C,申万菱信基金,刘敦,2019-08-08,N/A,2025-11-07 18:38:42
010356,诺安创业板指数增强,诺安基金,梅律吾,2020-10-28,N/A,2025-11-07 18:38:42
013081,中信保诚中证800有色指数,中信保诚基金,黄稚,2021-08-26,N/A,2025-11-07 18:38:42
014194,汇添富中证芯片产业指数增强发起式...,汇添富基金,马磊,2021-12-02,N/A,2025-11-07 18:38:42
012901,招商创业板指数增强C,招商基金,文雨,2021-11-16,N/A,2025-11-07 18:38:42
015454,中欧中证500指数增强C,中欧基金,钱亚婷,2022-05-06,N/A,2025-11-07 18:38:43
014419,西部利得CES芯片指数增强C,西部利得基金,盛丰衍,2021-12-23,N/A,2025-11-07 18:38:44
011833,西部利得人工智能主题指数增强C,西部利得基金,翟梓舰,2021-06-08,N/A,2025-11-07 18:38:43
010063,南方行业精选一年混合C,南方基金,骆帅,2020-10-27,N/A,2025-11-07 18:38:44
